id,time,moisture,humidity,temperature
1,2019-01-02 06:04:35,4,5.0,6.0
2,2019-01-02 06:04:42,7,5.0,8.0
3,2019-01-02 06:23:24,1,2.0,3.0
4,2019-01-02 06:23:31,3,1.0,2.0
5,2019-01-05 13:03:47,99,54.0,24.0
6,2019-01-05 13:03:49,99,54.0,24.0
7,2019-01-05 13:03:50,99,54.0,24.0
8,2019-01-05 13:03:50,99,54.0,24.0
9,2019-01-05 13:04:01,119,68.0,24.0
10,2019-01-05 13:04:09,109,78.0,24.0
11,2019-01-05 13:04:13,109,78.0,25.0
12,2019-01-05 13:04:28,129,75.0,25.0
13,2019-01-05 13:04:32,129,75.0,24.0
14,2019-01-05 13:04:45,149,75.0,24.0
